Geneid	SRR031708_aligned.sam	SRR031709_aligned.sam	SRR031718_aligned.sam	SRR031719_aligned.sam
FBgn0023527	121	79	79	45
FBgn0040391	4	5	5	0
FBgn0053218	0	1	1	0
FBgn0003079	156	101	101	91
FBgn0003159	230	159	159	82
FBgn0040389	83	48	48	39
FBgn0044047	171	119	119	48
FBgn0040392	4	4	4	4
FBgn0023526	150	117	117	87
FBgn0023529	1878	1358	1358	814
FBgn0023528	350	280	280	173
FBgn0027296	50	36	36	17
FBgn0023524	7	2	2	3
FBgn0023525	13	7	7	13
FBgn0000377	200	136	136	95
FBgn0001330	106	69	69	40
FBgn0004397	796	604	604	316
FBgn0023550	2	1	1	0
FBgn0029603	0	0	0	0
FBgn0023542	203	162	162	111
FBgn0023541	0	0	0	0
FBgn0005670	26	12	12	12
FBgn0004655	555	362	362	181
FBgn0013432	142	87	87	57
FBgn0004861	138	83	83	33
FBgn0004860	154	92	92	64
FBgn0040394	276	178	178	106
FBgn0040376	4	1	1	0
FBgn0040066	284	203	203	75
FBgn0001404	384	230	230	212
FBgn0040336	77	39	39	31
FBgn0040333	9	6	6	7
FBgn0040334	222	134	134	96
FBgn0029629	1746	1240	1240	631
FBgn0011566	70	50	50	31
FBgn0011606	345	220	220	246
FBgn0040375	77	72	72	39
FBgn0040377	4	1	1	7
FBgn0040388	446	304	304	118
FBgn0003714	84	50	50	41
FBgn0001150	11	10	10	1
FBgn0052797	0	0	0	0
FBgn0040385	0	0	0	0
FBgn0003371	780	517	517	303
FBgn0003068	29	25	25	14
FBgn0024993	33	26	26	19
FBgn0024996	133	87	87	74
FBgn0024997	68	52	52	34
FBgn0024991	96	66	66	71
FBgn0000928	129	93	93	85
FBgn0000927	2	3	3	8
FBgn0000520	117	87	87	60
FBgn0024975	53	28	28	19
FBgn0040356	0	0	0	0
FBgn0003996	13	7	7	7
FBgn0040384	74	46	46	37
FBgn0024980	128	105	105	78
FBgn0000376	275	194	194	128
FBgn0024973	166	132	132	79
FBgn0024998	78	40	40	27
FBgn0024995	1	0	0	0
FBgn0024994	115	82	82	65
FBgn0024992	360	298	298	167
FBgn0000092	5	2	2	2
FBgn0025838	3	1	1	1
FBgn0011276	2	0	0	2
FBgn0004647	1153	822	822	482
FBgn0040396	96	77	77	44
FBgn0000479	281	207	207	110
FBgn0002933	0	0	0	0
FBgn0003374	0	0	0	0
FBgn0029660	28	22	22	11
FBgn0029662	116	92	92	52
FBgn0029661	24	18	18	18
FBgn0029659	22	9	9	13
FBgn0029658	1	3	3	1
FBgn0052493	0	0	0	0
FBgn0029657	5	3	3	2
FBgn0029656	0	3	3	2
FBgn0003086	0	0	0	0
FBgn0010296	0	0	0	0
FBgn0010295	0	0	0	0
FBgn0010294	0	0	0	0
FBgn0040393	0	0	0	0
FBgn0000644	1	1	1	1
FBgn0028746	38	25	25	15
FBgn0040355	1	0	0	0
FBgn0052793	0	1	1	1
FBgn0029642	0	0	0	1
FBgn0025645	1	0	0	0
FBgn0029643	1	1	1	0
FBgn0029644	1	0	0	0
FBgn0029645	0	0	0	0
FBgn0029646	0	0	0	0
FBgn0029647	0	0	0	0
FBgn0029648	9	3	3	8
FBgn0028369	4	0	0	9
FBgn0029649	0	0	0	0
FBgn0003285	3	2	2	2
FBgn0025644	0	0	0	0
FBgn0029639	1	0	0	1
FBgn0040354	0	0	0	0
FBgn0040353	0	0	0	0
FBgn0040352	0	1	1	0
FBgn0029664	139	91	91	99
FBgn0029666	174	124	124	115
FBgn0029669	7	3	3	2
FBgn0052792	0	0	0	0
FBgn0044046	1	0	0	0
FBgn0023215	328	228	228	120
FBgn0015286	196	110	110	97
FBgn0023216	97	70	70	57
FBgn0029672	104	71	71	65
FBgn0052791	39	31	31	24
FBgn0029667	9	7	7	5
FBgn0029665	33	28	28	17
FBgn0029663	10	11	11	10
FBgn0052785	0	0	0	0
FBgn0025118	0	0	0	0
FBgn0028491	29	20	20	28
FBgn0029681	0	1	1	0
FBgn0029686	26	20	20	17
FBgn0052786	1	0	0	0
FBgn0052783	0	1	1	1
FBgn0029687	708	465	465	387
